id,@timestamp,bytes_in,client.bytes,destination.ip,dns.question.name,dns.response_code,dns.type,network.bytes,source.ip,status,client.port,destination.port,dns.flags.authentic_data,dns.id,dns.answers.data
227,2021-11-17T15:06:21.750Z,56.0,56.0,8.8.8.8,googleads.g.doubleclick.net,NOERROR,answer,128,192.168.57.253,OK,62278,53,False,62008,172.217.173.130
228,2021-11-17T15:06:21.747Z,45.0,45.0,192.168.57.253,googleads.g.doubleclick.net,NOERROR,answer,106,192.168.121.137,OK,60808,53,False,48353,172.217.173.130
229,2021-11-17T15:06:21.714Z,35.0,35.0,192.168.57.253,mab.chartbeat.com,NOERROR,answer,137,192.168.160.104,OK,62756,53,False,20245,"[dualstack.f6.shared.global.fastly.net"";""199.232.114.202""]"""
230,2021-11-17T15:06:21.698Z,49.0,49.0,8.8.8.8,beacons.gcp.gvt2.com,NOERROR,answer,144,192.168.57.253,OK,62220,53,False,25838,"[beacons-handoff.gcp.gvt2.com"";""216.58.202.99""]"""
231,2021-11-17T15:06:21.697Z,38.0,38.0,192.168.57.253,beacons.gcp.gvt2.com,NOERROR,answer,122,10.4.6.80,OK,50163,53,False,60100,"[beacons-handoff.gcp.gvt2.com"";""172.217.162.227""]"""
232,2021-11-17T15:06:21.670Z,47.0,47.0,8.8.8.8,b1sync.zemanta.com,NOERROR,answer,506,192.168.57.253,OK,60176,53,False,612,"[zemanta-nychi.zemanta.com"";""64.202.112.159"";""64.74.236.63"";""70.42.32.159"";""64.202.112.63"";""64.74.236.127"";""70.42.32.191"";""64.74.236.95"";""64.202.112.95"";""50.31.142.191"";""70.42.32.31"";""70.42.32.63"";""50.31.142.159"";""70.42.32.127"";""64.202.112.191"";""64.202.112.31"";""64.202.112.127"";""50.31.142.31"";""64.74.236.191"";""50.31.142.95"";""70.42.32.95"";""64.74.236.31"";""64.74.236.159"";""50.31.142.63"";""50.31.142.127""]"""
233,2021-11-17T15:06:21.669Z,36.0,36.0,192.168.57.253,b1sync.zemanta.com,NOERROR,answer,484,192.168.8.114,OK,59023,53,False,62725,"[zemanta-nychi.zemanta.com"";""50.31.142.159"";""50.31.142.95"";""50.31.142.191"";""64.74.236.63"";""64.202.112.95"";""64.202.112.159"";""64.74.236.159"";""70.42.32.95"";""70.42.32.31"";""64.74.236.31"";""50.31.142.63"";""64.74.236.95"";""50.31.142.31"";""64.74.236.127"";""70.42.32.127"";""70.42.32.159"";""64.202.112.31"";""64.202.112.63"";""70.42.32.191"";""64.202.112.127"";""64.74.236.191"";""70.42.32.63"";""50.31.142.127"";""64.202.112.191""]"""
234,2021-11-17T15:06:21.645Z,39.0,39.0,192.168.57.253,bid.g.doubleclick.net,NOERROR,answer,358,192.168.8.114,OK,56232,53,False,49037,"[ads-bid.l.doubleclick.net"";""142.251.0.156"";""142.250.0.157"";""64.233.186.157"";""142.251.0.154"";""64.233.190.157"";""64.233.190.154"";""64.233.190.156"";""172.217.192.154"";""64.233.186.155"";""172.217.192.155"";""64.233.186.154"";""172.217.192.156"";""142.251.0.157"";""64.233.190.155"";""142.251.0.155"";""64.233.186.156""]"""
235,2021-11-17T15:06:21.621Z,32.0,32.0,192.168.57.253,ntp.ubuntu.com,NOERROR,answer,120,192.168.57.77,OK,48971,53,False,10336,"[2001:67c:1560:8003::c7"";""2001:67c:1560:8003::c8""]"""
236,2021-11-17T15:06:21.619Z,32.0,32.0,192.168.57.253,ntp.ubuntu.com,NOERROR,answer,128,192.168.57.77,OK,42447,53,False,50993,"[91.189.89.199"";""91.189.89.198"";""91.189.91.157"";""91.189.94.4""]"""
237,2021-11-17T15:06:21.599Z,34.0,34.0,192.168.57.253,secure.adnxs.com,NOERROR,answer,309,10.3.228.75,OK,52451,53,False,41111,"[g.geogslb.com"";""ib.anycast.adnxs.com"";""68.67.181.202"";""68.67.179.154"";""68.67.160.134"";""68.67.160.25"";""68.67.179.135"";""68.67.160.137"";""68.67.179.164"";""68.67.179.166"";""68.67.160.76"";""68.67.179.122"";""68.67.181.207"";""68.67.179.173""]"""
238,2021-11-17T15:06:21.593Z,26.0,26.0,192.168.57.253,ubuntu16,SERVFAIL,answer,52,192.168.57.50,Error,46219,53,False,36335,
